"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
702,"NCT03789513","Evaluation of Triage Options After HPV Testing for Cervical Cancer Screening Among HIV-infected Women","AIMA-CC","Unknown status","No Results Available","HIV Infections|HPV - Anogenital Human Papilloma Virus Infection","Diagnostic Test: HPV test with partial genotyping and VIA triage","Sensitivity of the triage options|Specificity of the triage options|Positive and negative predictive value (PPV and NPV) of the triage options|Positive and negative diagnostic likelihood ratio (DLR) of the triage options|Acceptability and feasibility|Prevalence of CIN2+ lesions|Prevalence of CIN3+ lesions|Prevalence of cervical cancer|Adverse events|Proportion of the women eligible to HPV screening who were actually screened and treated (if required)|Evaluation of the micro-costing|Evaluation of post-treatment HPV clearance|Evaluation of post-treatment cervical lesion","ANRS, Emerging Infectious Diseases|Institut de Recherche pour le Developpement|International Agency for Research on Cancer|Programme PAC-CI, Site ANRS-MIE de Côte d'Ivoire|University Hospital, Geneva|University of Bordeaux","Female","30 Years to 49 Years   (Adult)","Not Applicable","3000","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening","ANRS12375 AIMA-CC","March 1, 2019","September 1, 2022","September 2022","December 28, 2018",,"February 16, 2022","HIV day care center, Bobo-Dioulasso, Burkina Faso|Calmette Hospital, Phnom Penh, Cambodia|CEPREF, Abidjan, Côte D'Ivoire",,"https://ClinicalTrials.gov/show/NCT03789513"
703,"NCT01792973","HPV Infection and Cervical Lesions in HIV Infected Women in Thailand: A Prospective Study","PapilloV","Completed","No Results Available","Cervical Cancer",,"High risk HPV infection|High grade cervical lesions","Institut de Recherche pour le Developpement|National Cancer Institute, France|Fondation de France","Female","18 Years and older   (Adult, Older Adult)",,"829","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PapilloV","February 2012","December 2016","December 2016","February 15, 2013",,"October 22, 2021","Prapokklao Hospital, Chanthaburi, Chantaburi, Thailand|Lamphun Hospital, Lamphun, Chiang Mai, Thailand|Nakornping Hospital, Mae Rim, Chiang Mai, Thailand|Sanpatong Hospital, San Pa Tong, Chiang Mai, Thailand|Mae Chan Hospital, Mae Chan, Chiang Rai, Thailand|Mae Sai Hospital, Mae Sai, Chiang Rai, Thailand|Phan Hospital, Phan, Chiang Rai, Thailand|Chiangrai Prachanukroh Hospital, Chiang Rai, Chiangrai, Thailand|Chonburi Hospital, Chon Buri, Chonburi, Thailand|Mahasarakam Hospital, Maha Sarakham, Mahasarakam, Thailand|Nakhonpathom Hospital, Nakhon Pathom, Nakhonpathom, Thailand|Chiang Kham Hospital, Chiang Kham, Phayao, Thailand|Buddhachinaraj Hospital, Phitsanulok, Pitsanulok, Thailand|Samutprakarn Hospital, Samut Prakan, Samutprakarn, Thailand|Samutsakorn Hospital, Samut Sakhon, Samutsakorn, Thailand|Hat Yai Hospital, Hat Yai, Songkla, Thailand|Bhumibol Adulyadej Hospital, Bangkok, Thailand|Bhuddasothorn Hospital, Chachoengsao, Thailand|Lampang Hospital, Lampang, Thailand|Maharat Nakhon Ratchasima Hospital, Nakhon Ratchasima, Thailand|Nong Khai Hospital, Nong Khai, Thailand|Phayao Hospital, Phayao, Thailand|Ratchaburi Hospital, Ratchaburi, Thailand|Rayong Hospital, Rayong, Thailand",,"https://ClinicalTrials.gov/show/NCT01792973"
704,"NCT00714402","Procalcitonin Level and Kinetics in Children With Bacterial Infections",,"Completed","No Results Available","Bacterial Infections|Bacteremia|Meningitis|Urinary Tract Infection|Mastoiditis|Lobar Pneumonia|Septic Arthritis|Cellulitis|Osteomyelitis",,"time to defervescence|length of hospitalization","Shaare Zedek Medical Center","All","3 Days to 16 Years   (Child)",,"50","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","pct.ctil","August 2008",,,"July 14, 2008",,"May 18, 2011","Shaare Zedek Medical Center, Jerusalem, Pob 3235, Israel",,"https://ClinicalTrials.gov/show/NCT00714402"
705,"NCT04831086","To Optimize Antenatal Management of Women With Pre Term Labor Using Amniocentesis","OPTIM-PTL","Recruiting","No Results Available","Preterm Birth|Preterm Labor|Intra-amniotic Infection|Amniocentesis Affecting Fetus or Newborn","Drug: Steroid Drug|Drug: Tocolytic Agents","Antenatal steroid doses|maternal stay length|Clinical chorioamnionitis","Fundacion Clinic per a la Recerca Biomédica|Hospital Vall d'Hebron|Hospital Universitario La Fe|Hospital Universitario La Paz|Hospital Universitario 12 de Octubre|Consorci Sanitari de Terrassa|Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau|Hospital Universitario Puerta del Mar|Hospital Sant Joan de Deu|Germans Trias i Pujol Hospital|University Hospital Virgen de las Nieves|Hospital Clínico Universitario Lozano Blesa|Parc Taulí Hospital Universitari","Female","18 Years and older   (Adult, Older Adult)","Phase 3","340","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","OPTIM-PTL","May 5, 2021","September 30, 2023","December 30, 2023","April 5, 2021",,"May 18, 2022","Fundació Recerca Biomèdica Clínica, Barcelona, Spain","""Study Protocol and Statistical Analysis Plan"", https://classic.clinicaltrials.gov/ProvidedDocs/86/NCT04831086/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04831086"
706,"NCT05477953","An Observational Pregnancy Safety Study in Women Who Were Exposed to the Drug Nifurtimox During Pregnancy to Learn About the Risk of Pregnancy Complications and About the Mother's and Baby's Health",,"Active, not recruiting","No Results Available","Chagas Disease","Drug: Nifurtimox (BAYA2502)","Major Congenital Malformations (birth defects)|Events of Interest in Neonates and Infants through 12 Months of Age: Hospitalizations for serious illness|Events of Interest in Neonates and Infants through 12 Months of Age: Medications|Events of Interest in Neonates and Infants through 12 Months of Age: Growth and development milestones|Events of Interest in Neonates and Infants through 12 Months of Age: Neonatal or infant mortality|Maternal Complications: Premature rupture of membranes (PROM)|Maternal Complications: Preeclampsia|Maternal Complications: Severe pregnancy-induced hypertension (PIH)|Maternal Complications: Proteinuria|Maternal Complications: Gestational diabetes|Maternal Complications: Measures of fetal growth deficiency (small for gestational age)|Spontaneous abortion|Elective/Induced abortion|Fetal death/Still birth|Preterm delivery|Live Birth|Ectopic or Molar Pregnancy","Bayer","Female","Child, Adult, Older Adult",,"50","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","21944","August 17, 2022","March 31, 2032","March 31, 2032","July 28, 2022",,"April 12, 2024","Many Locations, Multiple Locations, West Virginia, United States|Many Locations, Multiple Locations, Argentina|Many Locations, Multiple Locations, Bolivia|Many Locations, Multiple Locations, Chile|Many Locations, Multiple Locations, Uruguay",,"https://ClinicalTrials.gov/show/NCT05477953"
707,"NCT00258089","A Study of the Safety and Effectiveness of Oral Levofloxacin Compared With Oral Ciprofloxacin in the Treatment of Complicated Urinary Tract Infections",,"Completed","No Results Available","Urinary Tract Infections|Bacteriuria|Urologic Diseases|Pyelonephritis|Neurogenic Bladder","Drug: Levofloxacin","Clinical response, the resolution of signs and symptoms at post-therapy compared with those at the start of study; Microbiological response, the eradication at post-therapy of infectious organism identified at start of study.|Overall clinical response (described as cured, improved or failed) at long-term follow up; incidence of adverse events throughout the study; change in clinical laboratory tests and physical examinations from start of study to post-therapy.","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.|PriCara, Unit of Ortho-McNeil, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 3","578","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","CR005482","June 1993",,"January 1995","November 24, 2005",,"May 23, 2011",,,"https://ClinicalTrials.gov/show/NCT00258089"
708,"NCT02168946","Efficacy, Safety, Tolerability of Vabomere Compared to Best Available Therapy in Treating Serious Infections in Adults",,"Completed","Has Results","Urinary Tract Infection Complicated|Acute Pyelonephritis|Hospital Acquired Bacterial Pneumonia|Ventilator-associated Bacterial Pneumonia|Bacteremia|Abdominal Infection","Drug: Vabomere|Drug: Best Available Therapy","Proportion of Subjects in the Microbiological Carbapenem-resistant Enterobacteriaceae Modified Intent-to-Treat (mCRE-MITT) Population With a Response of Overall Success [Complicated Urinary Tract Infection (cUTI) or Acute Pyelonephritis (AP) Subjects]|All-cause Mortality Rate in the mCRE-MITT Population [Hospital-acquired Bacterial Pneumonia (HABP), Ventilator-associated Bacterial Pneumonia (VABP) and Bacteremia Subjects)|Proportion of Subjects in the mCRE-MITT Population With a Clinical Outcome of Cure [Complicated Intra-abdominal Infection (cIAI) Subjects Only]|The All-cause Mortality Rate in the mCRE-MITT Population (All Indications)|The All-cause Mortality Rate in the m-MITT Population (All Indications)|The All-cause Mortality Rate in the mCRE-MITT Population (cUTI/AP)|Proportion of Subjects in the mCRE-MITT Population With a Clinical Outcome of Cure (All Indications)|Proportion of Subjects in the mCRE-MITT Population With a Clinical Outcome of Cure (cUTI/AP Subjects Only)|Proportion of Subjects in the mCRE-MITT Population With a Clinical Outcome of Cure (HABP/VABP and Bacteremia)|Proportion of Subjects in the Microbiological Modified Intent-to-Treat (m-MITT) Population With a Clinical Outcome of Cure (All Indications)|Proportion of Subjects in the m-MITT Population With a Clinical Outcome of Cure (cUTI/AP)|Proportion of Subjects in the m-MITT Population With a Clinical Outcome of Cure (HABP/VABP and Bacteremia)|Proportion of Subjects in the mCRE-MITT Population With a Microbiological Outcome of Eradication (All Indications)|Proportion of Subjects in the m-MITT Population With a Microbiological Outcome of Eradication (All Indications)|Proportion of Subjects in the m-MITT Populations With a With a Response of Overall Success (cUTI/AP)|Proportion of Subjects in the m-MITT Populations With a With a Response of Overall Success (Bacteremia Only)","Rempex (a wholly owned subsidiary of Melinta Therapeutics, Inc.)|Department of Health and Human Services|Melinta Therapeutics, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 3","77","Industry|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","Rempex 506","July 2014","July 21, 2017","July 21, 2017","June 20, 2014","December 11, 2018","March 4, 2019","Hartford, Connecticut, United States|Tampa, Florida, United States|Augusta, Georgia, United States|Chicago, Illinois, United States|Chicago, Illinois, United States|Evanston, Illinois, United States|Indianapolis, Indiana, United States|Detroit, Michigan, United States|Royal Oak, Michigan, United States|New Brunswick, New Jersey, United States|Bronx, New York, United States|Buffalo, New York, United States|Flushing, New York, United States|New York, New York, United States|Charlotte, North Carolina, United States|Durham, North Carolina, United States|Cleveland, Ohio, United States|Philadelphia, Pennsylvania, United States|Pittsburgh, Pennsylvania, United States|Charlottesville, Virginia, United States|Ciudad Autónoma de Buenos Aires, Argentina|Córdoba, Argentina|La Plata, Argentina|Mendoza, Argentina|Sao Jose do Rio Preto, São Paulo, Brazil|Belo Horizonte, Brazil|Curitiba, Brazil|Porto Alegre, Brazil|Sao Paulo, Brazil|São Paulo, Brazil|São Paulo, Brazil|Barranquilla, Colombia|Bogota, Colombia|Medellin, Colombia|Athens, Greece|Athens, Greece|Athens, Greece|Thessaloniki, Greece|Haifa, Israel|Petah Tikva, Israel|Ramat Gan, Israel|Tel Aviv, Israel|Bologna, Italy|Firenze, Italy|Genova, Italy|Pisa, Italy|Rome, Italy|Udine, Italy|Manchester, United Kingdom|Manchester, United Kingdom","""Study Protocol"", https://classic.clinicaltrials.gov/ProvidedDocs/46/NCT02168946/Prot_000.pdf|""Statistical Analysis Plan"", https://classic.clinicaltrials.gov/ProvidedDocs/46/NCT02168946/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02168946"
709,"NCT01615341","Study of Subclinical Viral Infection",,"Unknown status","No Results Available","Kidney Transplantation|Kidney Failure, Chronic",,"Change in measured GFR from baseline|Change in interstitial fibrosis and tubular atrophy of renal allograft from baseline|Change in innate immune activation of renal allograft from baseline","Seattle Children's Hospital|University of Washington","All","1 Year to 25 Years   (Child, Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","R01DK088914-01A1","October 2011","October 2016","October 2016","June 8, 2012",,"June 8, 2012","Seattle Children's Hospital, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT01615341"
710,"NCT02145338","Antibiotic Prophylaxis for Clean Intermittent Catheterisation","AnTIC","Completed","No Results Available","Urinary Tract Infections, Recurrent","Drug: Nitrofurantoin or Trimethoprim or Cefalexin|Other: No prophylaxis","Relative incidence of symptomatic antibiotic-treated UTI","Newcastle-upon-Tyne Hospitals NHS Trust|NHS Health Technology Assessment Programme|Newcastle University|Glasgow Caledonian University|University of Aberdeen|Cambridge University Hospitals NHS Foundation Trust|North Bristol NHS Trust|University of Southampton","All","18 Years and older   (Adult, Older Adult)","Phase 4","404","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","AnTIC:6672|2013-002556-32|11-72-01","September 2013","February 22, 2017","February 22, 2017","May 22, 2014",,"March 30, 2018","Institute of Cellular Medicine, Newcastle University, Newcastle upon Tyne, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02145338"
711,"NCT00734968","Does Treatment With Macrobid Reduce Urinary Tract Infections in Patients Receiving a Sub-Urethral Sling for Incontinence",,"Completed","Has Results","Stress Incontinence","Drug: Nitrofurantoin|Other: Placebo","Incidence of Post-operative UTI Following the Placement of Sub-urethral Sling for the Treatment of Stress Urinary Incontinence|Incidence of Post-operative UTI in Placebo Group|Incidence of Post-operative UTI in Treatment Group","University of Missouri-Columbia|Texas A&M University","Female","18 Years and older   (Adult, Older Adult)","Phase 4","161","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","1108717","May 2008","May 2010","May 2010","August 14, 2008","October 11, 2016","October 11, 2016","Scott and White Hosptial, Texas A&M University, Temple, Texas, United States",,"https://ClinicalTrials.gov/show/NCT00734968"
712,"NCT05040334","Role of Prophylactic Antibiotics in Preventing Pelvic Infection After Surgical Evacuation",,"Unknown status","No Results Available","Antibiotics Causing Adverse Effects in Therapeutic Use","Drug: Group 1: Antibiotic receiving group","Change of pelvic infection after surg ical evacuation of miscarriage with use of antibiotic prophylaxis.|Change in the risk of severe puerperal sepsis following the surgical procedure","Cairo University","Female","18 Years to 35 Years   (Adult)","Phase 4","138","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","Cairo University Obygyn","January 1, 2021","April 1, 2022","May 1, 2022","September 10, 2021",,"March 28, 2022","Department of Obstetrics and Gynecology, Kasr Al-Ainy University Hospital, Cairo University., Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT05040334"
713,"NCT01800799","Urinary NGF as A Biomarker for Acute Bacterial Cystitis",,"Completed","No Results Available","Urinary Tract Infection","Drug: Baktar 800mg h.s.|Drug: Celecoxib 200mg QD","Change from Baseline in urinary nerve growth factor (NGF) at different time points|Change from Baseline in one-day voiding diary at different time points|Change from Baseline in Overactive Bladder Symptom Score (OABSS) at different time points|Change from Baseline in visual analog scale of pain (VAS) at different time points","Buddhist Tzu Chi General Hospital","Female","20 Years to 90 Years   (Adult, Older Adult)","Not Applicable","37","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TCGHUROL007","February 2013","December 2014","December 2014","February 28, 2013",,"February 17, 2017","Buddhist Tzu Chi General Hospital, Hualien, Taiwan",,"https://ClinicalTrials.gov/show/NCT01800799"
714,"NCT05959928","Continuous Temperature Telemonitoring of Patients With COVID-19 and Other Infectious Diseases in Hospital at Home Using Viture","Viture","Completed","No Results Available","COVID-19|Infectious Disease|Tract Infection, Urinary|Bacteremia|Respiratory Infection|Cellulitis","Device: Continuous wearable thermometer placed on patient's armpit to monitor body temperature remotely","Verify that, under normal conditions of use, the performance of Viture for body temperature measurement is equivalent to the devices used in the standard practice.|Evaluate the safety, usability and comfort of Viture Device","Vitio Medical S.L.|Hospital Universitario de Navarra|NAVARRABIOMED","All","18 Years and older   (Adult, Older Adult)",,"209","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","859/20/EC","February 9, 2021","June 2, 2021","June 2, 2021","July 25, 2023",,"July 27, 2023","Hospital Universitario de Navarra, Pamplona, Navarra, Spain",,"https://ClinicalTrials.gov/show/NCT05959928"
715,"NCT00400595","Use of Ointments in Prevention of Catheter Related Infections in PD",,"Completed","No Results Available","End Stage Renal Disease","Drug: Mupirocin ointment|Drug: Polysporin Triple","The primary endpoint is the time to first catheter related infection.|Removal of the catheter to prevent or halt progression of a catheter related infection|Hospitalizations related to catheter related infection|Death due to catheter-related infection|All-cause mortality|Technique failure (i.e. transfer to hemodialysis)|Mupirocin or Polysporin Triple resistance","University Health Network, Toronto","All","18 Years and older   (Adult, Older Adult)","Phase 4","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","05-0850-AE","February 2006","June 2009","June 2010","November 17, 2006",,"March 18, 2015","Scarborough General Hospital, Toronto, Ontario, Canada|University Health Network, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00400595"
716,"NCT00190281","Contrast-Enhanced US of Spleen, Liver and Kidney",,"Unknown status","No Results Available","Malaria|Pyelonephritis|Bacterial Infections",,,"Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)",,"53","Other","Observational","Observational Model: Defined Population|Time Perspective: Prospective","04 025","August 2005",,,"September 19, 2005",,"December 13, 2005","Department of Adult Radiology, Necker University Hospital, Paris, Ile de france, France",,"https://ClinicalTrials.gov/show/NCT00190281"
717,"NCT02215902","Safety Study of the Aethlon Hemopurifier","AEMD-IDE-20","Terminated","No Results Available","End Stage Renal Disease|Hepatitis C Infection","Device: Affinity plasmapheresis","Rate of adverse events|Viral load reduction","Aethlon Medical Inc.","All","18 Years and older   (Adult, Older Adult)","Not Applicable","8","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AEMD - IDE - 2013","December 2014","March 10, 2017","March 10, 2017","August 13, 2014",,"March 14, 2017","DaVita Med Center Dialysis, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02215902"
718,"NCT06149676","A Novel Probiotic-antibiotic Combination to Prevent Recurrent Urinary Tract Infections",,"Recruiting","No Results Available","Recurrent Uti","Drug: Saccharomyces Boulardii 250 MG [Florastor]","Reduction in UTI episodes","Ann & Robert H Lurie Children's Hospital of Chicago","All","2 Years to 17 Years   (Child)","Early Phase 1","35","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB 2022-4941","February 2, 2022","December 31, 2024","December 31, 2025","November 29, 2023",,"November 29, 2023","Lurie Children's Hospital, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT06149676"
719,"NCT02381834","Evaluation of a Novel Midstream Urine Collection Technique for Infants in the Emergency Department",,"Completed","No Results Available","Urinary Tract Infection","Procedure: Bladder stimulation technique","Proportion of patients for whom the technique is successful for urine collection within 5 minutes (success being defined as the collection of an adequate sample volume [≥ 1 mL] for urinalysis and urine culture testing)|Proportion of contaminated samples (contamination being defined as growth of ≥ 2 microorganisms or growth of a single type of non-uropathogenic organism)|Length of bladder stimulation time (minutes) required for successful urine collection.|Length of time (minutes) required to complete the full study protocol (from initiation of feeding/IV fluid administration to completed urine collection)|Patient distress as perceived by parent/guardian, measured using a 10 cm Visual Analog Scale (VAS).|Components of satisfaction relating to the procedure for the parent/guardian and the Registered Nurse (RN) or Medical Doctor (MD) performing the procedure.","Children's Hospital of Eastern Ontario","All","up to 90 Days   (Child)","Not Applicable","150","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","14/190X","March 2015","January 2016","January 2016","March 6, 2015",,"January 12, 2016","Children's Hospital of Eastern Ontario, Ottawa, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02381834"
720,"NCT03655548","Optimization Management Study of Community Urinary Tract Infections Spectrum","OPTICUR-EBLSE","Completed","No Results Available","Urinary Tract Infections|Resistant Infection|Community-Acquired Infections|Beta Lactam Resistant Bacterial Infection",,"percentage of adequation to ANSM 2015 guidelines of antibotics prescription for community acquired urinary tract infection before and after CBEU report","University Hospital, Brest","All","18 Years and older   (Adult, Older Adult)",,"108","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","OPTICUR-EBLSE","October 1, 2016","February 28, 2017","February 28, 2017","August 31, 2018",,"August 31, 2018",,,"https://ClinicalTrials.gov/show/NCT03655548"
721,"NCT01235546","Study of Effectiveness and Safety of Azithromycin-based Extended-spectrum Prophylaxis to Prevent Post Cesarean Infection","C/SOAP","Completed","Has Results","Endometritis|Wound Infection|Abscess|Surgical Site Infection","Drug: Azithromycin and standard of care|Drug: Placebo and standard of care","Participants With Endometritis and/or Wound Infection and/or Other Post-cesarean Infections (Occurring Within 6 Weeks of Delivery)","Alan Tita|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|University of Texas|University of North Carolina|Mission Hospital|Ochsner Health System|The University of Texas Health Science Center, Houston|Columbia University|University of Utah|University of Mississippi Medical Center|University of Alabama at Birmingham","Female","14 Years and older   (Child, Adult, Older Adult)","Not Applicable","2013","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","F090323006|NIH 1R01HD064729-01A1","May 2011","December 2015","December 2015","November 5, 2010","July 28, 2017","July 28, 2017","University of Alabama at Birmingham, Birmingham, Alabama, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Columbia University, New York, New York, United States|Mission Hospital, Asheville, North Carolina, United States|University of North Carolina, Chapel Hill, North Carolina, United States|University of Texas Medical Branch, Galveston, Texas, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States|University of Utah, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT01235546"
722,"NCT04700787","Safety, Tolerability, and Pharmacokinetics of Sulopenem in Adolescents",,"Withdrawn","No Results Available","Urinary Tract Infections|Pyelonephritis Acute|Intraabdominal Infections","Drug: Sulopenem","Maximum plasma concentration|Time to maximum plasma concentration|Time above minimum inhibitory concentration|Area under the plasma concentration-time curve from time zero to time of last quantifiable plasma concentration|Area under the plasma concentration-time curve from time zero extrapolated to infinity|Percentage of area under the concentration-time curve extrapolated|Terminal elimination half-life|Total body clearance for intravenous administration|Apparent total body clearance for oral administration|Volume of distribution for intravenous administration|Apparent volume of distribution for oral administration","Iterum Therapeutics, International Limited","All","12 Years to 18 Years   (Child, Adult)","Phase 1","0","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IT001-106","April 30, 2021","March 25, 2022","April 4, 2022","January 8, 2021",,"June 13, 2022","Medical Facility, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04700787"
723,"NCT05554081","Effect of Standardization of Urine Collection Using PEEZY Device as Compared to Clean Peezy for DAB","Peezy-DAB","Recruiting","No Results Available","Asymptomatic Bacteriuria|Urinary Tract Infections","Device: Peezy urine collection device","Urine contamination rates|Maternal comorbidities and contamination","Loyola University","Female","18 Years and older   (Adult, Older Adult)","Phase 3","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","216104","August 1, 2022","August 31, 2023","December 31, 2023","September 26, 2022",,"September 26, 2022","Loyola University medical Center, Maywood, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT05554081"
724,"NCT03310463","Evaluation of the Pharmacokinetics, Safety, and Tolerability of Intravenous ETX2514 and Sulbactam Administered Concurrently to Subjects With Various Degrees of Renal Impairment and Healthy Matched Control Subjects",,"Completed","No Results Available","Acinetobacter Baumannii Infection","Drug: ETX2514SUL","Mean maximum observed drug concentration (Cmax) in blood: Cohorts 1 and 2|Mean Cmax in blood: Cohorts 3 and 4|Mean Cmax in blood: Cohort 5|Mean time to reach the maximum concentration (tmax) in blood: Cohorts 1 and 2|Mean tmax in blood: Cohorts 3 and 4|Mean tmax in blood: Cohort 5|Mean AUC0-24 in blood: Cohorts 1 and 2|Mean AUC0-48 in blood: Cohorts 1 and 2|Mean AUC0-last in blood: Cohorts 1 and 2|Mean AUC0-∞ in blood: Cohorts 1 and 2|Mean AUC0-24 in blood: Cohorts 3 and 4|Mean AUC0-48 in blood: Cohorts 3 and 4|Mean AUC0-60 in blood: Cohorts 3 and 4|Mean AUC0-last in blood: Cohorts 3 and 4|Mean AUC0-∞ in blood: Cohorts 3 and 4|Mean AUC0-24 in blood: Cohort 5|Mean AUC0-48 in blood: Cohort 5|Mean AUC0-60 in blood: Cohort 5|Mean AUC0-last in blood: Cohort 5|Mean AUC0-∞ in blood: Cohort 5|Mean terminal elimination rate constant (λz) in blood: Cohorts 1 and 2|Mean λz in blood: Cohorts 3 and 4|Mean λz in blood: Cohort 5|Mean terminal half life (t1/2) in blood: Cohorts 1 and 2|Mean t1/2 in blood: Cohorts 3 and 4|Mean t1/2 in blood: Cohort 5|Mean total clearance (CL) from blood: Cohorts 1 and 2|Mean CL from blood: Cohorts 3 and 4|Mean CL in blood: Cohort 5|Mean volume of distribution in the terminal elimination phase (Vz) in blood: Cohorts 1 and 2|Mean Vz in blood: Cohorts 3 and 4|Mean Vz in blood: Cohort 5|Mean cumulative amount of drug excreted in urine (Aeu): Cohorts 1 and 2|Mean Aeu: Cohorts 3 and 4|Mean renal clearance (CLR): Cohorts 1 and 2|Mean CLR: Cohorts 3 and 4|Mean fraction of the dose renally eliminated (Feu): Cohorts 1 and 2|Mean Feu: Cohorts 3 and 4|Mean amount dialyzed (AHD): Cohort 5|Mean fraction of the dose removed by hemodialysis (FHD): Cohort 5|Estimated hemodialysis (HD) recovery clearance (CLD Recovery): Cohort 5|Number of participants with any non-serious adverse event (AE)|Number of participants with any serious adverse event (SAE)|Number of participants with an adverse event of the indicated causality and severity|Number of participants with abnormal, clinically significant physical examination findings at the indicated time points|Number of participants with abnormal, clinically significant vital sign values at the indicated time points|Change from Baseline in electrocardiogram (ECG) parameters at the indicated time points|Number of participants with abnormal, clinically significant hematology and clinical chemistry laboratory values at the indicated time points","Entasis Therapeutics","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","34","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CS2514-2017-0002","October 3, 2017","May 25, 2018","May 29, 2018","October 16, 2017",,"June 14, 2018","DaVita Clinical Research, Lakewood, Colorado, United States|University of Miami, Division of Clinical Pharmacology, Miami, Florida, United States|Davita Clinical Research, Minneapolis, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT03310463"
