doi,OA_color,issn,journal,publisher,date
10.1136/bmjgh-2018-000983corr1,gold,2059-7908,BMJ Global Health,BMJ,2019-02-01
10.1177/2333794X20969281,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2020-01-01
10.1179/2047772414Z.000000000200,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2014-04-01
10.1136/bmjgh-2017-000497corr1,gold,2059-7908,BMJ Global Health,BMJ,2019-11-01
10.1179/2047772413Z.000000000104,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2013-01-01
10.1016/S2214-109X(23)00522-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-02-01
10.1016/S2214-109X(19)30540-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-02-01
10.1016/S2214-109X(17)30072-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-04-01
10.7189/jogh.12.04097,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-12-29
10.1016/S2214-109X(15)00099-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2015-08-01
10.1016/S2214-109X(22)00340-0,closed,2214-109X,The Lancet Global Health,Elsevier BV,2022-10-01
10.1016/S2214-109X(22)00027-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-04-01
NA,,,,,
10.1016/S2214-109X(17)30411-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-01-01
10.1016/S2214-109X(22)00309-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-10-01
10.1016/S2214-109X(23)00451-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-12-01
10.1016/S2214-109X(19)30526-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-02-01
10.1136/bmjgh-2020-003902,gold,2059-7908,BMJ Global Health,BMJ,2021-06-01
10.1016/S2214-109X(19)30422-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-12-01
10.1016/S2214-109X(23)00245-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-08-01
10.1016/S2214-109X(22)00275-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-09-01
10.1371/journal.pgph.0001381,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-07-06
10.1371/journal.pgph.0002054,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-10-27
10.1016/S2214-109X(18)30441-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-01-01
10.1017/gheg.2020.1,gold,2054-4200,"Global Health, Epidemiology and Genomics",Hindawi Limited,2020-01-01
10.1016/S2214-109X(17)30074-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-05-01
10.1371/journal.pgph.0001994,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-05-25
10.1016/S2214-109X(18)30374-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-01-01
10.1136/bmjgh-2020-004543,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.1136/bmjgh-2021-006479,gold,2059-7908,BMJ Global Health,BMJ,2021-11-01
10.1136/bmjgh-2016-000144,gold,2059-7908,BMJ Global Health,BMJ,2016-12-01
10.1016/S2214-109X(19)30075-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-05-01
10.1016/S2214-109X(18)30526-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-03-01
10.1136/bmjgh-2021-007826,gold,2059-7908,BMJ Global Health,BMJ,2022-04-01
10.7189/jogh.13.04069,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-06-30
10.1136/bmjgh-2016-000182,gold,2059-7908,BMJ Global Health,BMJ,2017-06-28
10.1016/S2214-109X(19)30148-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-07-01
10.1016/S2214-109X(15)00150-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2015-09-01
10.1016/S2214-109X(21)00366-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-11-01
10.1016/S2214-109X(21)00387-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-12-01
10.1016/S2214-109X(21)00219-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-08-01
10.1016/S2214-109X(17)30467-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-02-01
10.1016/S2214-109X(19)30547-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-03-01
10.1016/S2214-109X(20)30508-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-03-01
10.1016/S2214-109X(18)30397-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-10-01
10.1016/S2214-109X(16)30354-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-02-01
10.1136/bmjgh-2019-001670,,,,,
10.1016/S2214-109X(21)00291-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-10-01
10.1016/S2214-109X(16)30253-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-12-01
10.1016/S2214-109X(23)00097-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-03-01
10.1016/S2214-109X(17)30372-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-11-01
10.1016/S2214-109X(19)30261-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-08-01
10.1136/bmjgh-2021-004983,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.1136/bmjgh-2019-001946,gold,2059-7908,BMJ Global Health,BMJ,2020-03-01
10.1016/S2214-109X(18)30444-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-01-01
10.1136/bmjgh-2016-000165,gold,2059-7908,BMJ Global Health,BMJ,2017-02-01
10.1016/S2214-109X(22)00041-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-04-01
10.1136/bmjgh-2018-001214,gold,2059-7908,BMJ Global Health,BMJ,2019-03-01
10.1016/S2214-109X(23)00095-5,green,2214-109X,The Lancet Global Health,Elsevier BV,2023-03-01
10.1371/journal.pgph.0002901,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-02-13
10.1371/journal.pgph.0001473,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-07-14
10.1136/bmjgh-2019-001718,gold,2059-7908,BMJ Global Health,BMJ,2020-01-01
10.1136/bmjgh-2021-007248,gold,2059-7908,BMJ Global Health,BMJ,2021-12-01
10.1016/S2214-109X(13)70054-8,green,2214-109X,The Lancet Global Health,Elsevier BV,2013-09-01
10.1016/S2214-109X(15)00195-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2015-11-01
10.1136/bmjgh-2021-005086,gold,2059-7908,BMJ Global Health,BMJ,2021-04-01
10.1136/bmjgh-2020-002716,gold,2059-7908,BMJ Global Health,BMJ,2020-09-01
10.1016/S2214-109X(17)30383-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-12-01
10.1136/bmjgh-2020-003866,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.1016/S2214-109X(22)00306-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-10-01
10.1016/S2214-109X(23)00592-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-04-01
10.1016/S2214-109X(14)70314-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2014-11-01
10.1136/bmjgh-2018-000808,gold,2059-7908,BMJ Global Health,BMJ,2018-07-01
10.1016/S2214-109X(23)00410-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-11-01
10.1136/bmjgh-2017-000539,gold,2059-7908,BMJ Global Health,BMJ,2018-01-01
10.1136/bmjgh-2016-000101,gold,2059-7908,BMJ Global Health,BMJ,2016-09-01
10.7189/jogh.10.010425,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2020-05-15
10.1016/S2214-109X(21)00061-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-05-01
10.1016/j.cegh.2020.07.008,gold,2213-3984,Clinical Epidemiology and Global Health,Elsevier BV,2021-01-01
10.1136/bmjgh-2019-001610,gold,2059-7908,BMJ Global Health,BMJ,2019-08-01
10.1080/16549716.2020.1829828,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-10-08
10.3402/gha.v9.31543,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2016-06-27
10.1016/S2214-109X(23)00216-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-08-01
10.1136/bmjgh-2018-000824,gold,2059-7908,BMJ Global Health,BMJ,2018-10-01
10.1136/bmjgh-2018-000906,gold,2059-7908,BMJ Global Health,BMJ,2018-06-01
10.1016/S2214-109X(16)30075-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-08-01
10.1016/S2214-109X(18)30027-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-04-01
10.1371/journal.pgph.0002810,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-01-23
10.1080/16549716.2022.2034135,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2022-04-12
10.1136/bmjgh-2021-006535,gold,2059-7908,BMJ Global Health,BMJ,2021-09-01
10.1016/S2214-109X(21)00264-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-09-01
10.1136/bmjgh-2017-000371,gold,2059-7908,BMJ Global Health,BMJ,2017-08-01
10.1136/bmjgh-2022-010296,gold,2059-7908,BMJ Global Health,BMJ,2022-11-01
10.1136/bmjgh-2019-001921,gold,2059-7908,BMJ Global Health,BMJ,2019-12-01
10.1136/bmjgh-2021-005726,gold,2059-7908,BMJ Global Health,BMJ,2021-06-01
10.1136/bmjgh-2017-000527,gold,2059-7908,BMJ Global Health,BMJ,2018-02-01
10.1016/S2214-109X(19)30546-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-03-01
10.1136/bmjgh-2019-002029,gold,2059-7908,BMJ Global Health,BMJ,2020-04-01
10.1136/bmjgh-2018-000946,gold,2059-7908,BMJ Global Health,BMJ,2019-05-01
10.1136/bmjgh-2017-000610,gold,2059-7908,BMJ Global Health,BMJ,2018-01-01
10.1136/bmjgh-2020-003370,gold,2059-7908,BMJ Global Health,BMJ,2020-12-01
10.1016/S2214-109X(22)00449-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-01-01
10.1016/S2214-109X(19)30427-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-12-01
10.1136/bmjgh-2021-005030,gold,2059-7908,BMJ Global Health,BMJ,2021-05-01
10.7189/jogh.13.04055,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-07-14
10.1016/S2214-109X(16)30100-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-08-01
10.1136/bmjgh-2021-005066,gold,2059-7908,BMJ Global Health,BMJ,2021-11-01
10.1016/S2214-109X(16)30236-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-01-01
10.1136/bmjgh-2023-013604,gold,2059-7908,BMJ Global Health,BMJ,2024-01-01
10.1179/2047772412Z.00000000087,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2012-11-01
10.7189/jogh.13.04056,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-07-14
10.1136/bmjgh-2021-005021,gold,2059-7908,BMJ Global Health,BMJ,2021-06-01
10.1016/S2214-109X(14)70347-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2015-05-01
10.1016/S2214-109X(17)30248-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-08-01
10.1016/S2214-109X(20)30448-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-02-01
10.1016/j.cegh.2023.101293,gold,2213-3984,Clinical Epidemiology and Global Health,Elsevier BV,2023-05-01
10.1016/S2214-109X(21)00034-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-05-01
10.1016/S2214-109X(20)30386-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-12-01
10.1016/S2214-109X(20)30275-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-09-01
10.1136/bmjgh-2020-004574,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.1016/j.cegh.2021.100811,gold,2213-3984,Clinical Epidemiology and Global Health,Elsevier BV,2021-10-01
10.1136/bmjgh-2018-001146,gold,2059-7908,BMJ Global Health,BMJ,2019-08-01
10.1136/bmjgh-2018-001024,gold,2059-7908,BMJ Global Health,BMJ,2018-12-01
10.1016/S2214-109X(16)30367-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-03-01
10.1016/j.cegh.2023.101250,gold,2213-3984,Clinical Epidemiology and Global Health,Elsevier BV,2023-03-01
10.1016/S2214-109X(24)00032-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-05-01
10.1016/S2214-109X(24)00004-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-04-01
10.1371/journal.pgph.0002446,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-11-14
10.1016/S2214-109X(23)00214-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-07-01
10.1016/S2214-109X(21)00040-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-05-01
10.1016/S2214-109X(22)00338-2,green,2214-109X,The Lancet Global Health,Elsevier BV,2022-11-01
10.1136/bmjgh-2017-000368,gold,2059-7908,BMJ Global Health,BMJ,2017-09-01
10.1136/bmjgh-2020-003897,gold,2059-7908,BMJ Global Health,BMJ,2020-12-01
10.1016/S2214-109X(17)30367-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-11-01
10.1016/S2214-109X(23)00096-7,green,2214-109X,The Lancet Global Health,Elsevier BV,2023-03-01
10.1016/j.cegh.2023.101236,gold,2213-3984,Clinical Epidemiology and Global Health,Elsevier BV,2023-03-01
10.1016/j.cegh.2022.101097,gold,2213-3984,Clinical Epidemiology and Global Health,Elsevier BV,2022-07-01
10.1016/S2214-109X(16)30142-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-09-01
10.1016/S2214-109X(22)00450-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-12-01
10.1016/S2214-109X(21)00181-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-07-01
10.1016/S2214-109X(21)00319-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-10-01
10.1186/s41256-017-0056-5,gold,2397-0642,Global Health Research and Policy,Springer Science and Business Media LLC,2018-01-05
10.1186/s41256-019-0125-z,gold,2397-0642,Global Health Research and Policy,Springer Science and Business Media LLC,2019-12-01
10.1186/s41256-022-00249-z,gold,2397-0642,Global Health Research and Policy,Springer Science and Business Media LLC,2022-05-20
10.1136/bmjgh-2021-007466,gold,2059-7908,BMJ Global Health,BMJ,2022-01-01
10.1080/17441692.2019.1639209,closed,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2019-07-05
10.1016/S2214-109X(23)00244-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-07-01
10.1136/bmjgh-2023-013473,gold,2059-7908,BMJ Global Health,BMJ,2023-11-01
10.1186/s41256-024-00347-0,gold,2397-0642,Global Health Research and Policy,Springer Science and Business Media LLC,2024-03-04
10.1186/s41256-020-00158-z,gold,2397-0642,Global Health Research and Policy,Springer Science and Business Media LLC,2020-07-01
10.1017/gmh.2016.14,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2016-01-01
10.1186/s41256-020-00171-2,gold,2397-0642,Global Health Research and Policy,Springer Science and Business Media LLC,2020-10-17
10.1017/gmh.2015.13,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2015-01-01
10.1179/2047773213Y.0000000092,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2013-06-01
10.1017/gmh.2021.2,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2021-01-01
10.1017/gmh.2015.29,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2016-01-01
10.1017/gmh.2017.19,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2017-01-01
10.1080/20477724.2016.1261489,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2016-12-01
10.1080/16549716.2021.1892309,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2021-01-01
10.1017/gmh.2022.44,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2022-01-01
10.1017/gmh.2016.13,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2016-01-01
10.1136/bmjgh-2020-004750,gold,2059-7908,BMJ Global Health,BMJ,2021-01-01
10.1016/S2214-109X(23)00538-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-02-01
10.1017/gmh.2016.19,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2016-01-01
10.3402/gha.v5i0.17288,green,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2012-05-02
10.1080/17441692.2020.1871498,closed,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2021-01-18
10.1016/S2214-109X(22)00271-6,closed,2214-109X,The Lancet Global Health,Elsevier BV,2022-09-01
10.1179/2047773212Y.0000000059,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2012-12-01
10.1016/S2214-109X(23)00083-9,closed,2214-109X,The Lancet Global Health,Elsevier BV,2023-04-01
10.1179/2047773212Y.0000000056,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2012-12-01
10.1017/gmh.2015.1,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2015-01-01
10.1017/gmh.2018.7,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2018-01-01
10.1017/gmh.2019.30,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2020-01-01
10.1179/2047773212Y.0000000060,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2012-12-01
10.1017/gmh.2015.22,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2015-01-01
10.1017/gmh.2015.17,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2015-01-01
10.3402/gha.v7.26696,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2014-12-01
10.1017/gmh.2015.7,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2015-01-01
10.1017/gmh.2017.26,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2018-01-01
10.1016/j.aogh.2016.07.001,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2017-03-08
10.1017/gmh.2015.10,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2015-01-01
10.1016/S2214-109X(22)00206-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-07-01
10.1017/gmh.2022.50,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2022-01-01
10.1179/2047773214Y.0000000134,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2014-04-01
10.1080/20477724.2019.1583847,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2019-01-02
10.1017/gmh.2017.27,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2018-01-01
10.1179/2047773215Y.0000000028,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2015-08-11
10.1179/2047773212Y.0000000062,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2012-12-01
10.1080/20477724.2021.1890887,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2021-03-08
10.1179/2047773213Y.0000000111,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2013-09-01
10.1177/2333794X15623717,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2015-01-01
10.1179/2047773212Y.0000000057,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2012-12-01
10.1080/20477724.2018.1447836,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2018-03-14
10.1080/20477724.2019.1603902,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2019-04-03
10.1177/2333794X15591567,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2015-01-01
10.1179/1364859411Y.0000000042,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2012-03-01
10.1080/20477724.2016.1254141,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2016-11-16
10.1080/20477724.2020.1727217,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2020-02-14
10.1177/17579759221095078,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2022-06-19
10.1177/1757975913483339,bronze,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2013-05-15
10.1179/2047773212Y.0000000042,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2012-10-01
10.1179/2047773213Y.0000000074,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2013-03-01
10.1080/20477724.2017.1347379,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2017-07-04
10.5334/aogh.2427,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2019-01-01
10.1177/1757975913483331,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2013-05-15
10.1177/2333794X15607315,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2015-01-01
10.1080/20477724.2021.1949193,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2021-07-13
10.1177/1757975913483336,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2013-05-15
10.1177/1757975918813049,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2019-04-03
10.1179/2047773212Y.0000000063,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2012-12-01
10.1016/S2214-109X(15)00323-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2016-04-01
10.1177/1757975919859575,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2019-08-26
10.1080/20477724.2022.2038052,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2022-02-13
10.1177/2333794X211022265,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2021-01-01
10.1177/2333794X15594183,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2015-01-01
10.1177/1757975918767622,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2018-05-29
10.5334/aogh.4015,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2023-01-01
10.1179/2047773214Y.0000000159,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2014-10-01
10.1136/bmjgh-2022-009278,gold,2059-7908,BMJ Global Health,BMJ,2022-08-01
10.1016/S2214-109X(23)00562-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2024-03-01
10.1179/2047773213Y.0000000081,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2013-04-01
10.5334/aogh.3400,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2021-01-01
10.1080/20477724.2021.1884807,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2021-02-11
10.1177/2333794X211062440,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2022-01-01
10.1016/j.aogh.2016.07.002,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2017-03-08
10.1177/1757975917747878,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2018-01-31
10.1177/17579759231204353,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2023-12-08
10.1177/2333794X221121243,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2022-01-01
10.1177/2333794X16672528,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2016-01-01
10.1016/S2214-109X(20)30365-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-10-01
10.1177/2333794X18770074,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2018-01-01
10.1136/bmjgh-2021-007533,gold,2059-7908,BMJ Global Health,BMJ,2022-02-01
10.1177/1757975919853784,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2019-06-24
10.1080/20477724.2021.1936818,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2021-06-15
10.5334/aogh.3392,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2022-01-18
10.1080/20477724.2022.2046967,green,"2047-7724,2047-7732",Pathogens and Global Health,Informa UK Limited,2022-03-17
10.1177/1757975915626864,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2016-05-23
10.5334/aogh.2346,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2019-01-01
10.1177/1757975913499800,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2013-09-16
10.5334/aogh.2628,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2019-11-11
10.5334/aogh.2440,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2019-01-01
10.1177/17579759221093388,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2022-06-23
10.1016/j.aogh.2017.09.007,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2017-11-22
10.1016/j.aogh.2016.06.005,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2017-03-08
10.29024/aogh.10,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2018-04-30
10.1177/2333794X19833730,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2019-01-01
10.1177/2333794X211018352,green,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2021-01-01
10.1177/2333794X16661888,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2016-01-01
10.5334/aogh.2438,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2019-01-01
10.1177/1757975913483330,green,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2013-05-15
10.1177/1757975913483335,bronze,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2013-05-15
10.1177/2333794X19831295,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2019-01-01
10.1177/17579759231153130,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2023-03-04
10.1177/1757975919854032,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2019-07-18
10.29024/aogh.2331,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2018-01-01
10.1177/1757975914552914,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2014-10-03
10.1177/2333794X14559395,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2014-01-01
10.1177/1757975917706831,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2017-08-31
10.1177/1757975915572691,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2016-07-09
10.1177/17579759231191507,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2023-09-19
10.5334/aogh.750,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2019-01-01
10.1177/1757975913483337,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2013-05-15
10.1177/1757975916675125,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2017-01-30
10.1177/2333794X18754452,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2018-01-01
10.5334/aogh.2663,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2020-01-01
